epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.8588,1.41004,2.14577,1.38212,0.45185,0.36027,0.32711,0.20018,1.35368,2.11509,1.34313,0.000331878,0.000331878,0.000331878
2,69.557,1.44621,1.63931,1.40288,0.50953,0.35435,0.3697,0.23011,1.39125,1.81494,1.38138,0.000654235,0.000654235,0.000654235
3,101.85,1.42624,1.55903,1.3985,0.49651,0.36186,0.38608,0.24588,1.41834,1.79435,1.42516,0.000965592,0.000965592,0.000965592
4,133.83,1.40777,1.50436,1.39383,0.52695,0.42081,0.44013,0.27807,1.37613,1.60747,1.38729,0.0009505,0.0009505,0.0009505
5,165.832,1.38926,1.40305,1.37149,0.57515,0.41948,0.45257,0.29175,1.35127,1.54395,1.37213,0.000934,0.000934,0.000934
6,198.255,1.36046,1.35282,1.35333,0.59679,0.44788,0.4935,0.32091,1.30518,1.44938,1.31348,0.0009175,0.0009175,0.0009175
7,230.727,1.33505,1.29924,1.33281,0.6009,0.44868,0.48667,0.31381,1.29611,1.51564,1.29616,0.000901,0.000901,0.000901
8,262.786,1.33233,1.26822,1.32953,0.59364,0.45558,0.49195,0.32628,1.27681,1.46645,1.3031,0.0008845,0.0008845,0.0008845
9,294.668,1.30451,1.24187,1.3205,0.62197,0.45799,0.50525,0.33589,1.26399,1.3939,1.28947,0.000868,0.000868,0.000868
10,326.847,1.29446,1.21502,1.31017,0.62974,0.46086,0.5176,0.34004,1.26503,1.42566,1.2878,0.0008515,0.0008515,0.0008515
11,359.036,1.28889,1.19405,1.30438,0.63796,0.47386,0.52846,0.35143,1.25149,1.36503,1.2664,0.000835,0.000835,0.000835
12,390.903,1.27253,1.16999,1.29828,0.64069,0.46663,0.52634,0.35215,1.24294,1.32779,1.27329,0.0008185,0.0008185,0.0008185
13,422.966,1.26882,1.14787,1.29057,0.61394,0.49279,0.52834,0.34908,1.23726,1.33918,1.25824,0.000802,0.000802,0.000802
14,454.854,1.26896,1.12236,1.28425,0.61596,0.48182,0.52091,0.35281,1.22229,1.34335,1.26079,0.0007855,0.0007855,0.0007855
